"","v","J","theta","S"
"477",0.071,950,134.9,281.66572552809
"478",0.001,1050,2.1,13.5927375398931
"479",0.011,1050,23.1,89.1615986791542
"480",0.021,1050,44.1,142.096870264429
"481",0.031,1050,65.1,185.406526052567
"482",0.041,1050,86.1,222.587914469181
"483",0.051,1050,107.1,255.342764719882
"484",0.061,1050,128.1,284.680581633536
"485",0.001,1150,2.3,14.8327951420672
"486",0.011,1150,25.3,97.6059287880938
"487",0.021,1150,48.3,155.583862174578
"488",0.031,1150,71.3,203.01921899158
"489",0.041,1150,94.3,243.742577932915
"490",0.051,1150,117.3,279.617771240813
"491",0.001,1250,2.5,16.0733523439908
"492",0.011,1250,27.5,106.050309017632
"493",0.021,1250,52.5,169.070880325887
"494",0.031,1250,77.5,220.631929677602
"495",0.041,1250,102.5,264.897254784362
"496",0.001,1350,2.7,17.3143035768244
"497",0.011,1350,29.7,114.494728235579
"498",0.021,1350,56.7,182.557918887812
"499",0.031,1350,83.7,238.24465416711
"500",0.041,1350,110.7,286.051942048586
"501",0.001,1450,2.9,18.5555708550985
"502",0.011,1450,31.9,122.939178378924
"503",0.021,1450,60.9,196.044973637978
"504",0.031,1450,89.9,255.857389604369
"505",0.001,1550,3.1,19.7970953687975
"506",0.011,1550,34.1,131.383653464397
"507",0.021,1550,65.1,209.532041443509
"508",0.031,1550,96.1,273.470133870563
"509",0.001,1650,3.3,21.038831961043
"510",0.011,1650,36.3,139.828148958587
"511",0.021,1650,69.3,223.019119930919
"512",0.031,1650,102.3,291.082885360498
"513",0.001,1750,3.5,22.2807454024222
"514",0.011,1750,38.5,148.272661363894
"515",0.021,1750,73.5,236.506207269179
"516",0.001,1850,3.7,23.5228078173592
"517",0.011,1850,40.7,156.717187938697
"518",0.021,1850,77.7,249.99330202312
"519",0.001,1950,3.9,24.7649968686445
"520",0.011,1950,42.9,165.161726503588
"521",0.021,1950,81.9,263.480403051942
"522",0.001,2050,4.1,26.0072944525619
"523",0.011,2050,45.1,173.606275304295
"524",0.021,2050,86.1,276.967509437424
"525",0.001,2150,4.3,27.2496857450839
"526",0.011,2150,47.3,182.050832912839
"527",0.021,2150,90.3,290.454620432164
"528",0.001,2250,4.5,28.4921584939866
"529",0.011,2250,49.5,190.495398155048
"530",0.001,2350,4.7,29.7347024861636
"531",0.011,2350,51.7,198.939970056567
"532",0.001,2450,4.9,30.9773091416902
"533",0.011,2450,53.9,207.384547802091
"534",0.001,2550,5.1,32.2199712008809
"535",0.011,2550,56.1,215.829130704182
"536",0.001,2650,5.3,33.4626824804618
"537",0.011,2650,58.3,224.273718179151
"538",0.001,2750,5.5,34.7054376817221
"539",0.011,2750,60.5,232.718309728197
"540",0.001,2850,5.7,35.9482322381883
"541",0.011,2850,62.7,241.162904922516
"542",0.001,2950,5.9,37.1910621936587
"543",0.011,2950,64.9,249.607503391438
"544",0.001,3050,6.1,38.4339241037782
"545",0.011,3050,67.1,258.052104812903
"546",0.001,3150,6.3,39.6768149560284
"547",0.011,3150,69.3,266.496708905739
"548",0.001,3250,6.5,40.9197321042428
"549",0.011,3250,71.5,274.94131542338
"550",0.001,3350,6.7,42.1626732146653
"551",0.011,3350,73.7,283.385924148695
"552",0.001,3450,6.9,43.4056362212506
"553",0.011,3450,75.9,291.830534889726
"554",0.001,3550,7.1,44.6486192884129
"555",0.001,3650,7.3,45.8916207798169
"556",0.001,3750,7.5,47.1346392320986
"557",0.001,3850,7.7,48.3776733326324
"558",0.001,3950,7.9,49.6207219006369
"559",0.001,4050,8.1,50.8637838710495
"560",0.001,4150,8.3,52.1068582807079
"561",0.001,4250,8.5,53.3499442564633
"562",0.001,4350,8.7,54.5930410049175
"563",0.001,4450,8.9,55.8361478035317
"564",0.001,4550,9.1,57.079263992897
"565",0.001,4650,9.3,58.3223889699947
"566",0.001,4750,9.5,59.5655221823001
"567",0.001,4850,9.7,60.8086631226116
"568",0.001,4950,9.9,62.0518113245006
"569",0.001,5050,10.1,63.2949663582994
"570",0.001,5150,10.3,64.5381278275523
"571",0.001,5250,10.5,65.7812953658704
"572",0.001,5350,10.7,67.0244686341367
"573",0.001,5450,10.9,68.2676473180168
"574",0.001,5550,11.1,69.5108311257376
"575",0.001,5650,11.3,70.7540197861
"576",0.001,5750,11.5,71.9972130466984
"577",0.001,5850,11.7,73.2404106723217
"578",0.001,5950,11.9,74.4836124435142
"579",0.001,6050,12.1,75.7268181552796
"580",0.001,6150,12.3,76.9700276159096
"581",0.001,6250,12.5,78.2132406459253
"582",0.001,6350,12.7,79.4564570771179
"583",0.001,6450,12.9,80.6996767516783
"584",0.001,6550,13.1,81.942899521406
"585",0.001,6650,13.3,83.1861252469892
"586",0.001,6750,13.5,84.4293537973486
"587",0.001,6850,13.7,85.6725850490384
"588",0.001,6950,13.9,86.9158188856988
"589",0.001,7050,14.1,88.1590551975552
"590",0.001,7150,14.3,89.402293880959
"591",0.001,7250,14.5,90.645534837966
"592",0.001,7350,14.7,91.8887779759503
"593",0.001,7450,14.9,93.1320232072473
"594",0.001,7550,15.1,94.3752704488269
"595",0.001,7650,15.3,95.6185196219907
"596",0.001,7750,15.5,96.8617706520937
"597",0.001,7850,15.7,98.1050234682868
"598",0.001,7950,15.9,99.3482780032781
"599",0.001,8050,16.1,100.591534193113
"600",0.001,8150,16.3,101.83479197697
"601",0.001,8250,16.5,103.078051296971
"602",0.001,8350,16.7,104.321312098005
"603",0.001,8450,16.9,105.564574327566
"604",0.001,8550,17.1,106.807837935599
"605",0.001,8650,17.3,108.05110287436
"606",0.001,8750,17.5,109.294369098285
"607",0.001,8850,17.7,110.537636563866
"608",0.001,8950,17.9,111.780905229534
"609",0.001,9050,18.1,113.024175055558
"610",0.001,9150,18.3,114.267446003938
"611",0.001,9250,18.5,115.510718038317
"612",0.001,9350,18.7,116.753991123891
"613",0.001,9450,18.9,117.997265227326
"614",0.001,9550,19.1,119.240540316683
"615",0.001,9650,19.3,120.483816361344
"616",0.001,9750,19.5,121.727093331947
"617",0.001,9850,19.7,122.97037120032
"618",0.001,9950,19.9,124.213649939422
"619",0.001,10050,20.1,125.456929523288
"620",0.001,10150,20.3,126.700209926973
"621",0.001,10250,20.5,127.943491126505
"622",0.001,10350,20.7,129.186773098839
"623",0.001,10450,20.9,130.430055821809
"624",0.001,10550,21.1,131.67333927409
"625",0.001,10650,21.3,132.916623435156
